County,State,GEO_ID,Total Population,Minority Population,ratio_income_poverty (above 200% FPL),Total Bachelors Degree,Est Speak English Less than Well,Per Capita Income,Est Civilians Insured,Est Percent Civilians Insured,Percent Households without Vehicle,Household Level - More People than Rooms (%)
Webster County,Iowa,0500000US19187,36757,3084,20737.0,3563,309,25243.0,33228,94.9,0.07713045765386639,0.0043398211467648605
Story County,Iowa,0500000US19169,96922,13030,54460.0,14139,1596,28034.0,91819,95.4,0.06144711034686585,0.0018001558343856633
Woodbury County,Iowa,0500000US19193,102398,14160,66602.0,10452,5354,27430.0,94427,93.1,0.07607440667094291,0.013162283515073765
Black Hawk County,Iowa,0500000US19013,133009,21325,83912.0,15956,2781,29100.0,124301,94.4,0.07073014195107219,0.0040773180308064025
Grundy County,Iowa,0500000US19075,12341,210,9554.0,1846,72,35443.0,11893,97.7,0.035039906560249176,0.004282655246252677
Jackson County,Iowa,0500000US19097,19395,619,13793.0,1704,22,29207.0,18324,95.5,0.0672656629431763,0.002064108790675085
Jones County,Iowa,0500000US19105,20568,940,13918.0,1844,183,28879.0,18665,96.2,0.054363725012189175,0.005972696245733789
Lee County,Iowa,0500000US19111,34541,2179,21937.0,2754,169,25968.0,31956,95.4,0.07074839528814277,0.0070536784933342735
Mitchell County,Iowa,0500000US19131,10631,244,7388.0,939,32,28898.0,9634,92.4,0.04548555833522856,0.007050261541960427
Warren County,Iowa,0500000US19181,49361,1878,38719.0,7391,243,34570.0,47346,97.1,0.03602510680943088,0.005432775990294847
Sac County,Iowa,0500000US19161,9868,255,6960.0,1054,99,30750.0,9198,95.0,0.029081749484772153,0.004579803068468056
Plymouth County,Iowa,0500000US19149,25039,1310,18989.0,2681,275,32028.0,23693,95.7,0.0514087988136431,0.0026693030153237766
Clay County,Iowa,0500000US19041,16313,755,10659.0,1972,292,27811.0,15469,96.3,0.07394797766580417,0.0019065776930409914
Clinton County,Iowa,0500000US19045,47218,2943,31371.0,4282,125,27942.0,44863,95.9,0.07415308040022348,0.003199756209050739
Smith County,Kansas,0500000US20183,3663,124,2282.0,385,2,28598.0,3342,92.8,0.03390838786436645,0.0
Grant County,Kansas,0500000US20067,7616,1228,4947.0,511,841,25788.0,6153,81.9,0.019290123456790122,0.026234567901234566
Kingman County,Kansas,0500000US20095,7470,238,5689.0,951,71,33203.0,6837,93.1,0.023940472339048852,0.006470397929472662
Butler County,Kansas,0500000US20015,66468,4527,45788.0,8410,340,28759.0,58702,91.8,0.050994974053038045,0.010051893923916153
Nemaha County,Kansas,0500000US20131,10104,309,7248.0,1151,33,29687.0,9294,94.5,0.0390547263681592,0.004975124378109453
Pottawatomie County,Kansas,0500000US20149,23545,1313,17583.0,3513,273,28070.0,21792,94.9,0.02840713053479011,0.016446233467510063
